"Figure 1. Temperatures in the Contiguous 48 States, 1901-2020",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2021",,,
Web update: April 2021,,,
Units: °F,,,
,,,
Year,Earth's surface,Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.15,null,null
1902,-0.43,null,null
1903,-1.4,null,null
1904,-0.86,null,null
1905,-1.02,null,null
1906,-0.29,null,null
1907,-0.54,null,null
1908,0.06,null,null
1909,-0.59,null,null
1910,0.4,null,null
1911,0.01,null,null
1912,-1.79,null,null
1913,-0.48,null,null
1914,-0.18,null,null
1915,-0.57,null,null
1916,-1.17,null,null
1917,-1.96,null,null
1918,-0.15,null,null
1919,-0.47,null,null
1920,-0.95,null,null
1921,1.78,null,null
1922,0.01,null,null
1923,-0.38,null,null
1924,-1.43,null,null
1925,0.5,null,null
1926,-0.07,null,null
1927,0.13,null,null
1928,-0.1,null,null
1929,-1.17,null,null
1930,-0.04,null,null
1931,1.52,null,null
1932,-0.29,null,null
1933,0.97,null,null
1934,2.08,null,null
1935,-0.12,null,null
1936,0.13,null,null
1937,-0.47,null,null
1938,1.16,null,null
1939,1.24,null,null
1940,-0.13,null,null
1941,0.64,null,null
1942,-0.18,null,null
1943,0.05,null,null
1944,-0.19,null,null
1945,-0.27,null,null
1946,0.93,null,null
1947,-0.1,null,null
1948,-0.41,null,null
1949,0,null,null
1950,-0.63,null,null
1951,-0.9,null,null
1952,0.25,null,null
1953,1.35,null,null
1954,1.31,null,null
1955,-0.33,null,null
1956,0.32,null,null
1957,0.02,null,null
1958,-0.09,null,null
1959,0.08,null,null
1960,-0.58,null,null
1961,-0.15,null,null
1962,-0.12,null,null
1963,0.24,null,null
1964,-0.35,null,null
1965,-0.33,null,null
1966,-0.53,null,null
1967,-0.26,null,null
1968,-0.7,null,null
1969,-0.52,null,null
1970,-0.41,null,null
1971,-0.36,null,null
1972,-0.65,null,null
1973,0.27,null,null
1974,0.24,null,null
1975,-0.52,null,null
1976,-0.55,null,null
1977,0.53,null,null
1978,-0.98,null,null
1979,-1.14,0.012190476,-0.848084524
1980,0.37,0.693190476,0.165165476
1981,1.1,1.062190476,0.661965476
1982,-0.68,-0.026809524,-0.611834524
1983,-0.14,-0.002809524,-0.413684524
1984,-0.05,0.253690476,-0.255584524
1985,-0.72,0.073690476,-1.084934524
1986,1.3,1.183690476,0.725865476
1987,1.31,1.018690476,1.105215476
1988,0.61,0.660190476,0.544665476
1989,-0.18,0.510190476,0.214365476
1990,1.49,1.413190476,1.277415476
1991,1.14,0.997690476,1.027365476
1992,0.58,0.444190476,0.573615476
1993,-0.76,-0.209809524,-0.298934524
1994,0.85,1.003690476,1.075515476
1995,0.63,0.759190476,0.761115476
1996,-0.14,0.463690476,0.272865476
1997,0.18,0.418690476,0.401565476
1998,2.21,1.656190476,1.906065476
1999,1.86,1.756690476,1.891515476
2000,1.25,1.317190476,1.478865476
2001,1.67,1.215190476,1.538415476
2002,1.19,0.957190476,1.136565476
2003,1.24,1.189690476,1.473315476
2004,1.08,0.733690476,1.049115476
2005,1.62,1.266190476,1.581915476
2006,2.23,1.405690476,1.752015476
2007,1.63,1.728190476,1.869915476
2008,0.27,0.432190476,0.484815476
2009,0.37,0.487690476,0.588315476
2010,0.96,0.889690476,1.002615476
2011,1.16,0.976690476,1.105365476
2012,3.26,1.917190476,2.713365476
2013,0.41,0.610690476,0.686715476
2014,0.52,0.721690476,0.772215476
2015,2.38,2.191690476,2.556765476
2016,2.9,1.990690476,2.472315476
2017,2.53,2.211190476,2.361615476
2018,1.5,1.602190476,1.800165476
2019,0.66,1.087690476,1.192665476
2020,2.35,1.926190476,2.291715476
